bike_1,,
t,x,y
2,55.22,3.671
3,55.31,3.667
4,55.40,3.664
5,55.49,3.660
6,55.57,3.652
7,55.65,3.648
8,55.75,3.645
9,55.83,3.636
10,55.91,3.636
11,56.01,3.636
12,56.09,3.631
13,56.17,3.631
14,56.26,3.631
15,56.34,3.629
16,56.42,3.627
17,56.52,3.613
18,56.61,3.607
19,56.70,3.597
20,56.78,3.598
21,56.87,3.591
22,56.95,3.596
23,57.05,3.581
24,57.14,3.580
25,57.23,3.575
26,57.31,3.568
27,57.40,3.564
28,57.49,3.562
29,57.57,3.560
30,57.67,3.556
31,57.75,3.557
32,57.84,3.554
33,57.93,3.558
34,58.01,3.559
35,58.10,3.563
36,58.18,3.560
37,58.28,3.559
38,58.36,3.563
39,58.45,3.567
40,58.54,3.561
41,58.62,3.567
42,58.71,3.571
43,58.79,3.569
44,58.89,3.565
45,58.97,3.567
46,59.07,3.567
47,59.15,3.568
48,59.23,3.582
49,59.32,3.587
50,59.41,3.595
51,59.50,3.597
52,59.58,3.601
53,59.67,3.606
54,59.76,3.607
55,59.84,3.624
56,59.94,3.622
57,60.02,3.633
58,60.12,3.636
59,60.20,3.631
60,60.30,3.634
61,60.38,3.639
62,60.47,3.630
63,60.56,3.632
64,60.65,3.635
65,60.74,3.648
66,60.82,3.641
67,60.91,3.660
68,60.99,3.666
69,61.08,3.665
70,61.17,3.668
71,61.25,3.669
72,61.34,3.672
73,61.43,3.667
74,61.52,3.671
75,61.61,3.666
76,61.70,3.668
77,61.79,3.668
78,61.87,3.668
79,61.96,3.669
80,62.05,3.668
81,62.14,3.669
82,62.22,3.666
83,62.31,3.667
84,62.40,3.664
85,62.50,3.664
86,62.58,3.665
87,62.67,3.661
88,62.76,3.661
89,62.84,3.659
90,62.92,3.660
91,63.02,3.646
92,63.11,3.635
93,63.20,3.633
94,63.29,3.627
95,63.39,3.630
96,63.47,3.626
97,63.56,3.627
98,63.66,3.625
99,63.76,3.605
100,63.84,3.599
101,63.92,3.591
102,64.02,3.590
103,64.11,3.582
104,64.20,3.585
105,64.28,3.586
106,64.38,3.585
107,64.46,3.566
108,64.54,3.561
109,64.64,3.556
110,64.72,3.553
111,64.81,3.552
112,64.91,3.547
113,65.00,3.548
114,65.08,3.548
115,65.17,3.551
116,65.28,3.537
117,65.36,3.523
118,65.45,3.521
119,65.54,3.523
120,65.64,3.517
121,65.72,3.507
122,65.82,3.492
123,65.90,3.492
124,66.00,3.485
125,66.08,3.485
126,66.17,3.477
127,66.26,3.474
128,66.36,3.474
129,66.44,3.473
130,66.54,3.470
131,66.63,3.463
132,66.73,3.450
133,66.82,3.445
134,66.87,3.444
