t,x,y
4148,0.26,2.546
4149,0.58,2.556
4150,0.88,2.574
4151,1.2,2.581
4152,1.52,2.583
4153,1.83,2.599
4154,2.14,2.613
4155,2.46,2.615
4156,2.76,2.623
4157,3.08,2.629
4158,3.4,2.634
4159,3.7,2.65
4160,4.01,2.654
4161,4.33,2.659
4162,4.64,2.677
4163,4.95,2.686
4164,5.28,2.689
4165,5.59,2.695
4166,5.9,2.71
4167,6.21,2.719
4168,6.53,2.724
4169,6.85,2.735
4170,7.15,2.748
4171,7.48,2.758
4172,7.79,2.764
4173,8.1,2.782
4174,8.42,2.793
4175,8.74,2.795
4176,9.05,2.8
4177,9.36,2.818
4178,9.68,2.828
4179,10.0,2.831
4180,10.32,2.839
4181,10.63,2.858
4182,10.94,2.865
4183,11.26,2.882
4184,11.59,2.89
4185,11.91,2.899
4186,12.23,2.904
4187,12.54,2.928
4188,12.86,2.937
4189,13.18,2.942
4190,13.49,2.956
4191,13.81,2.97
4192,14.14,2.978
4193,14.45,2.998
4194,14.77,3.006
4195,15.09,3.015
4196,15.41,3.034
4197,15.73,3.045
4198,16.04,3.06
4199,16.36,3.077
4200,16.68,3.087
4201,17.0,3.106
4202,17.33,3.115
4203,17.65,3.131
4204,17.98,3.149
4205,18.29,3.166
4206,18.61,3.183
4207,18.92,3.194
4208,19.24,3.216
4209,19.57,3.223
4210,19.89,3.245
4211,20.22,3.256
4212,20.54,3.28
4213,20.87,3.292
4214,21.19,3.312
4215,21.51,3.331
4216,21.84,3.351
4217,22.16,3.364
4218,22.49,3.388
4219,22.81,3.401
4220,23.14,3.429
4221,23.46,3.437
4222,23.79,3.449
4223,24.11,3.464
4224,24.43,3.471
4225,24.75,3.49
4226,25.08,3.507
4227,25.41,3.515
4228,25.73,3.536
4229,26.05,3.549
4230,26.38,3.569
4231,26.71,3.585
4232,27.04,3.613
4233,27.36,3.623
4234,27.68,3.64
4235,28.0,3.65
4236,28.32,3.668
4237,28.65,3.683
4238,28.97,3.691
4239,29.3,3.706
4240,29.63,3.72
4241,29.94,3.734
4242,30.27,3.748
4243,30.59,3.755
4244,30.92,3.763
4245,31.24,3.781
4246,31.47,3.802
4247,31.79,3.805
4248,32.12,3.809
4249,32.44,3.81
4250,32.76,3.818
4251,33.09,3.822
4252,33.42,3.832
4253,33.74,3.834
4254,34.07,3.841
4255,34.39,3.839
4256,34.72,3.842
4257,35.04,3.845
4258,35.37,3.844
4259,35.69,3.843
4260,36.02,3.846
4261,36.35,3.843
4262,36.68,3.848
4263,37.01,3.843
4264,37.35,3.842
4265,37.63,3.851
4266,37.86,3.862
4267,38.19,3.863
4268,38.52,3.862
4269,38.86,3.861
4270,39.19,3.862
4271,39.52,3.862
4272,39.86,3.86
4273,40.2,3.86
4274,40.54,3.861
4275,40.88,3.86
4276,41.22,3.86
4277,41.55,3.859
4278,41.9,3.857
4279,42.23,3.86
4280,42.57,3.859
4281,42.91,3.859
4282,43.26,3.858
4283,43.6,3.859
4284,43.94,3.859
4285,44.28,3.859
4286,44.62,3.859
4287,44.96,3.857
4288,45.3,3.857
4289,45.57,3.854
4290,45.89,3.859
4291,46.23,3.859
4292,46.57,3.859
4293,46.91,3.859
4294,47.25,3.861
4295,47.6,3.858
4296,47.93,3.858
4297,48.28,3.858
4298,48.62,3.857
4299,48.97,3.857
4300,49.3,3.858
4301,49.64,3.858
4302,49.98,3.857
4303,50.33,3.857
4304,50.66,3.858
4305,51.0,3.857
4306,51.35,3.857
4307,51.69,3.855
4308,52.04,3.854
4309,52.37,3.854
4310,52.72,3.858
4311,53.06,3.853
4312,53.33,3.885
4313,53.66,3.886
4314,54.01,3.886
4315,54.35,3.883
4316,54.69,3.885
4317,55.03,3.885
4318,55.38,3.881
4319,55.71,3.882
4320,56.06,3.879
4321,56.4,3.884
4322,56.75,3.88
4323,57.09,3.882
4324,57.44,3.877
4325,57.77,3.878
4326,58.12,3.876
4327,58.46,3.878
4328,58.81,3.874
4329,59.16,3.872
4330,59.5,3.872
4331,59.85,3.864
4332,60.19,3.858
4333,60.54,3.847
4334,60.89,3.842
4335,61.24,3.84
4336,61.59,3.837
4337,61.93,3.84
4338,62.27,3.829
4339,62.61,3.834
4340,62.96,3.834
4341,63.32,3.82
4342,63.65,3.81
4343,64.0,3.806
4344,64.36,3.798
4345,64.7,3.791
4346,65.05,3.795
4347,65.41,3.786
4348,65.74,3.777
4349,66.1,3.77
4350,66.45,3.763
4351,66.79,3.767
