t,x,y
4228,1.05,7.059
4229,1.46,7.063
4230,1.88,7.067
4231,2.3,7.086
4232,2.73,7.092
4233,3.16,7.094
4234,3.58,7.1
4235,4.0,7.103
4236,4.44,7.115
4237,4.87,7.128
4238,5.3,7.14
4239,5.74,7.137
4240,6.17,7.155
4241,6.6,7.165
4242,7.03,7.172
4243,7.46,7.173
4244,7.9,7.181
4245,8.33,7.199
4246,8.77,7.201
4247,9.2,7.211
4248,9.63,7.222
4249,10.05,7.236
4250,10.52,7.255
4251,10.96,7.269
4252,11.39,7.274
4253,11.83,7.278
4254,12.28,7.295
4255,12.71,7.304
4256,13.15,7.31
4257,13.59,7.328
4258,14.03,7.339
4259,14.47,7.345
4260,14.92,7.363
4261,15.37,7.375
4262,15.81,7.381
4263,16.26,7.4
4264,16.7,7.41
4265,17.14,7.422
4266,17.6,7.439
4267,18.04,7.445
4268,18.49,7.449
4269,18.94,7.463
4270,19.38,7.481
4271,19.82,7.489
4272,20.27,7.498
4273,20.72,7.509
4274,21.17,7.518
4275,21.61,7.525
4276,22.07,7.54
4277,22.51,7.55
4278,22.96,7.553
4279,23.4,7.568
4280,23.86,7.58
4281,24.3,7.587
4282,24.74,7.597
4283,25.19,7.614
4284,25.62,7.621
4285,26.07,7.627
4286,26.51,7.645
4287,26.95,7.655
4288,27.39,7.659
4289,27.83,7.668
4290,28.28,7.685
4291,28.71,7.691
4292,29.15,7.694
4293,29.58,7.704
4294,30.03,7.721
4295,30.47,7.725
4296,30.91,7.729
4297,31.35,7.733
4298,31.78,7.742
4299,32.23,7.753
4300,32.66,7.76
4301,33.09,7.764
4302,33.53,7.769
4303,33.97,7.775
4304,34.41,7.785
4305,34.85,7.795
4306,35.29,7.795
4307,35.73,7.797
4308,36.16,7.797
4309,36.6,7.801
4310,37.05,7.813
4311,37.5,7.823
4312,37.95,7.828
4313,38.38,7.832
4314,38.83,7.834
4315,39.28,7.835
4316,39.73,7.839
4317,40.18,7.844
4318,40.63,7.839
4319,41.08,7.842
4320,41.54,7.839
4321,42.0,7.852
4322,42.46,7.858
4323,42.9,7.861
4324,43.36,7.861
4325,43.82,7.862
4326,44.28,7.863
4327,44.74,7.866
4328,45.2,7.864
4329,45.65,7.866
4330,46.11,7.864
4331,46.57,7.864
4332,47.01,7.865
4333,47.47,7.862
4334,47.92,7.861
4335,48.38,7.86
4336,48.84,7.859
4337,49.3,7.859
4338,49.74,7.857
4339,50.19,7.854
4340,50.64,7.854
4341,51.08,7.851
4342,51.52,7.845
4343,52.0,7.834
4344,52.44,7.821
4345,52.89,7.818
4346,53.33,7.815
4347,53.76,7.805
4348,54.26,7.791
4349,54.69,7.784
4350,55.12,7.778
4351,55.55,7.774
4352,56.03,7.751
4353,56.45,7.741
4354,56.95,7.718
4355,57.36,7.709
4356,57.74,7.7
4357,58.24,7.676
4358,58.63,7.668
4359,59.13,7.641
4360,59.52,7.633
4361,59.99,7.605
4362,60.38,7.596
4363,60.85,7.568
4364,61.23,7.559
4365,61.7,7.53
4366,62.08,7.517
4367,62.54,7.491
4368,62.98,7.46
4369,63.37,7.451
4370,63.81,7.421
4371,64.18,7.411
4372,64.62,7.382
4373,65.04,7.351
4374,65.41,7.339
4375,65.84,7.309
4376,66.26,7.282
4377,66.46,7.275
4378,66.45,7.275
4379,66.46,7.272
4380,66.46,7.259
