t,x,y,v,a
1739,1.79,6.044,,
1740,2.12,6.073,9.796,
1741,2.44,6.101,9.32,2.503
1742,2.74,6.12,9.647,9.04
1743,3.08,6.144,10.13,0.435
1744,3.41,6.175,9.578,6.0920000000000005
1745,3.72,6.191,9.546,3.386
1746,4.05,6.218,9.867,6.456
1747,4.37,6.231,9.865,3.217
1748,4.7,6.256,10.07,0.93
1749,5.04,6.285,9.967,1.7990000000000002
1750,5.37,6.297,10.05,2.358
1751,5.71,6.326,10.23,1.073
1752,6.05,6.351,9.957,2.929
1753,6.37,6.368,10.2,2.7089999999999996
1754,6.73,6.391,10.06,2.4459999999999997
1755,7.04,6.405,10.05,2.009
1756,7.4,6.431,10.23,8.657
1757,7.72,6.443,10.37,4.566
1758,8.09,6.466,10.25,4.018
1759,8.41,6.477,10.28,4.468
1760,8.77,6.502,10.32,4.949
1761,9.09,6.514,10.25,4.645
1762,9.45,6.538,10.32,8.47
1763,9.78,6.554,10.51,3.3080000000000003
1764,10.15,6.572,10.54,5.755
1765,10.48,6.584,10.53,3.05
1766,10.85,6.606,10.67,5.968
1767,11.19,6.618,10.62,4.084
1768,11.56,6.643,10.69,4.791
1769,11.9,6.65,10.72,2.963
1770,12.27,6.669,10.72,5.349
1771,12.62,6.684,10.76,1.909
1772,12.99,6.707,10.85,5.675
1773,13.34,6.718,10.92,2.281
1774,13.72,6.737,10.93,2.83
1775,14.07,6.754,10.55,1.266
1776,14.42,6.767,10.99,2.949
1777,14.8,6.785,10.89,7.8229999999999995
1778,15.15,6.792,11.19,1.127
1779,15.55,6.813,11.36,7.002000000000001
1780,15.9,6.824,11.23,3.9939999999999998
1781,16.29,6.851,11.39,4.216
1782,16.66,6.859,11.01,2.8939999999999997
1783,17.03,6.863,11.38,3.923
1784,17.42,6.881,11.33,2.802
1785,17.78,6.895,11.01,1.399
1786,18.15,6.905,11.47,6.09
1787,18.55,6.923,11.52,2.659
1788,18.92,6.93,11.19,1.9140000000000001
1789,19.29,6.94,11.59,3.2310000000000003
1790,19.69,6.96,11.61,3.487
1791,20.06,6.965,11.24,0.958
1792,20.44,6.971,11.7,4.949
1793,20.84,6.992,11.67,1.232
1794,21.22,7.001,11.53,1.895
1795,21.61,7.009,11.91,1.7819999999999998
1796,22.01,7.028,11.67,3.634
1797,22.39,7.036,11.52,1.9580000000000002
