t,x,y,v,a
1765,0.31,2.548,,
1766,0.59,2.553,8.302999999999999,
1767,0.86,2.573,8.068999999999999,1.578
1768,1.13,2.588,8.14,3.049
1769,1.41,2.594,8.276,1.9040000000000001
1770,1.68,2.61,8.16,5.3260000000000005
1771,1.95,2.626,8.192,3.5060000000000002
1772,2.22,2.651,8.363999999999999,4.194
1773,2.51,2.656,8.413,2.0380000000000003
1774,2.78,2.671,8.256,4.984
1775,3.06,2.697,8.103,1.962
1776,3.32,2.704,8.21,4.168
1777,3.6,2.72,8.372,5.26
1778,3.88,2.731,8.464,3.008
1779,4.16,2.753,8.343,5.3629999999999995
1780,4.43,2.775,8.103,1.165
1781,4.7,2.797,8.294,5.039
1782,4.99,2.822,8.463,3.674
1783,5.27,2.834,8.463,0.7190000000000001
1784,5.55,2.857,8.524,2.447
1785,5.83,2.876,8.5,2.813
1786,6.11,2.899,8.507,0.802
1787,6.4,2.909,8.555,4.005
1788,6.68,2.937,8.551,1.719
1789,6.97,2.967,8.552,2.642
1790,7.25,2.983,8.543,2.043
1791,7.54,3.008,8.523,0.301
1792,7.82,3.025,8.544,1.183
1793,8.1,3.043,8.543,3.563
1794,8.39,3.063,8.654,4.1739999999999995
1795,8.68,3.092,8.831,3.27
1796,8.97,3.113,8.782,1.5519999999999998
1797,9.26,3.127,8.75,3.002
1798,9.56,3.153,8.705,3.3360000000000003
1799,9.84,3.177,8.584,1.827
1800,10.13,3.202,8.696,3.5789999999999997
1801,10.42,3.221,8.849,3.273
1802,10.71,3.245,8.894,2.241
1803,11.01,3.265,8.732000000000001,2.488
1804,11.29,3.288,8.703,2.06
1805,11.59,3.317,8.921,2.356
1806,11.89,3.332,8.841000000000001,3.6719999999999997
1807,12.18,3.357,8.637,2.6860000000000004
1808,12.46,3.383,8.916,4.0680000000000005
1809,12.77,3.406,9.036,1.402
1810,13.06,3.43,8.745,2.439
1811,13.35,3.458,8.878,2.5660000000000003
1812,13.65,3.473,8.997,0.20199999999999999
1813,13.95,3.503,8.821,1.156
1814,14.24,3.524,8.908999999999999,1.026
1815,14.54,3.546,8.96,2.786
1816,14.83,3.574,8.869,2.332
1817,15.13,3.603,8.949,5.422999999999999
1818,15.43,3.615,9.189,2.6439999999999997
1819,15.74,3.645,9.157,0.48
1820,16.04,3.673,9.097000000000001,1.944
1821,16.34,3.686,9.167,2.303
1822,16.65,3.717,9.136000000000001,3.1510000000000002
1823,16.95,3.743,9.08,3.1210000000000004
1824,17.25,3.767,9.115,3.5669999999999997
1825,17.56,3.788,9.362,5.156000000000001
1826,17.87,3.814,9.442,1.122
1827,18.18,3.829,9.334,3.431
1828,18.49,3.86,9.234,1.143
1829,18.8,3.885,9.388,4.925
1830,19.12,3.905,9.547,2.824
1831,19.43,3.929,9.545,0.9009999999999999
1832,19.75,3.956,9.498,0.995
1833,20.06,3.975,9.566,2.3080000000000003
1834,20.39,4.0,9.652000000000001,1.913
1835,20.71,4.031,9.616,1.5530000000000002
1836,21.03,4.053,9.627,0.927
1837,21.35,4.077,9.61,2.641
1838,21.66,4.104,9.621,1.775
1839,21.98,4.135,9.651,2.695
1840,22.3,4.164,9.766,4.758
1841,22.63,4.189,9.917,2.555
1842,22.96,4.211,9.906,2.4730000000000003
1843,23.29,4.237,9.802,3.1239999999999997
1844,23.61,4.267,9.816,1.8730000000000002
1845,23.94,4.297,9.911,1.64
1846,24.27,4.318,9.895,2.008
1847,24.6,4.349,9.802999999999999,1.673
1848,24.92,4.378,9.818999999999999,4.4430000000000005
1849,25.25,4.405,10.02,1.145
1850,25.59,4.426,9.946,3.378
