t,x,y,v,a,θ
156,0.03,4.413,,,89.6°
157,0.49,4.426,13.56,,83.7°
158,0.94,4.434,13.13,1.756,78.1°
159,1.36,4.444,13.34,9.601,72.9°
160,1.82,4.456,13.83,10.44,67.7°
161,2.29,4.483,13.88,0.8290000000000001,63.0°
162,2.75,4.508,13.82,2.8480000000000003,58.6°
163,3.21,4.517,13.81,0.735,54.6°
164,3.67,4.542,13.87,2.852,51.1°
165,4.13,4.557,13.87,2.001,47.8°
166,4.59,4.582,13.9,1.882,44.9°
167,5.06,4.594,13.84,0.8809999999999999,42.3°
168,5.51,4.622,13.81,1.551,40.0°
169,5.98,4.641,13.79,3.158,37.8°
170,6.43,4.658,13.93,0.9059999999999999,35.9°
171,6.9,4.681,13.86,1.436,34.1°
172,7.36,4.699,13.85,0.782,32.6°
173,7.83,4.722,14.05,3.62,31.1°
174,8.29,4.742,14.01,2.6189999999999998,29.8°
175,8.76,4.762,13.97,0.92,28.5°
176,9.22,4.778,13.96,0.9309999999999999,27.4°
177,9.69,4.797,13.99,1.065,26.3°
178,10.15,4.813,13.87,3.0460000000000003,25.4°
179,10.61,4.832,13.98,1.103,24.5°
180,11.08,4.86,13.98,2.081,23.7°
181,11.55,4.875,14.02,2.745,22.9°
182,12.02,4.903,13.98,0.889,22.2°
183,12.48,4.916,13.93,2.287,21.5°
184,12.95,4.941,14.17,1.41,20.9°
185,13.42,4.969,14.04,1.73,20.3°
186,13.88,4.98,14.04,0.799,19.7°
187,14.35,5.007,14.14,2.171,19.2°
188,14.82,5.03,13.9,2.7939999999999996,18.7°
189,15.28,5.048,13.9,2.166,18.3°
190,15.75,5.079,14.05,5.9479999999999995,17.9°
191,16.22,5.089,14.24,2.846,17.4°
192,16.7,5.118,14.27,3.6289999999999996,17.0°
193,17.17,5.146,13.94,2.697,16.7°
194,17.63,5.156,14.21,4.232,16.3°
195,18.11,5.184,14.4,2.496,16.0°
196,18.58,5.208,14.03,2.474,15.7°
197,19.05,5.229,14.19,4.7010000000000005,15.4°
198,19.53,5.257,14.45,3.344,15.1°
199,20.01,5.281,13.99,1.8980000000000001,14.8°
200,20.46,5.3,14.13,7.497000000000001,14.5°
201,20.95,5.328,14.68,2.45,14.3°
202,21.44,5.359,14.25,7.067,14.0°
203,21.9,5.374,14.12,0.971,13.8°
204,22.38,5.396,14.41,2.0269999999999997,13.6°
205,22.86,5.428,14.12,5.157,13.4°
206,23.32,5.445,13.96,3.0860000000000003,13.1°
207,23.79,5.469,14.36,2.9810000000000003,12.9°
208,24.27,5.502,14.25,1.936,12.8°
209,24.74,5.512,14.16,0.547,12.6°
