t,x,y
156,39.38,0.798
157,39.38,0.798
158,39.38,0.798
159,39.38,0.798
160,39.38,0.798
161,39.38,0.798
162,39.38,0.798
163,39.38,0.798
164,39.38,0.798
165,39.38,0.798
166,39.38,0.798
167,39.38,0.798
168,39.38,0.798
169,39.38,0.798
170,39.38,0.798
171,39.38,0.798
172,39.38,0.798
173,39.38,0.798
174,39.38,0.798
175,39.38,0.798
176,39.38,0.798
177,39.38,0.798
178,39.38,0.798
179,39.38,0.798
180,39.38,0.798
181,39.38,0.798
182,39.38,0.798
183,39.38,0.798
184,39.38,0.798
185,39.38,0.798
186,39.38,0.798
187,39.38,0.798
188,39.38,0.798
189,39.38,0.798
190,39.38,0.798
191,39.38,0.798
192,39.38,0.798
193,39.38,0.798
194,39.38,0.798
195,39.38,0.798
196,39.38,0.798
197,39.38,0.798
198,39.38,0.798
199,39.38,0.798
200,39.38,0.798
201,39.38,0.798
202,39.38,0.798
203,39.38,0.798
204,39.38,0.798
205,39.38,0.798
206,39.38,0.798
207,39.38,0.798
208,39.38,0.798
209,39.38,0.798
210,39.38,0.798
211,39.38,0.798
212,39.38,0.798
213,39.38,0.798
214,39.38,0.798
215,39.38,0.798
216,39.38,0.798
217,39.38,0.798
218,39.38,0.798
219,39.38,0.798
220,39.38,0.798
221,39.38,0.798
222,39.38,0.798
223,39.38,0.798
224,39.38,0.798
225,39.38,0.798
226,39.38,0.798
227,39.38,0.798
228,39.38,0.798
229,39.38,0.798
230,39.38,0.798
231,39.38,0.798
232,39.38,0.798
233,39.38,0.798
234,39.38,0.798
235,39.38,0.798
236,39.38,0.798
237,39.38,0.798
238,39.38,0.798
239,39.38,0.798
240,39.38,0.798
241,39.38,0.798
242,39.38,0.798
243,39.38,0.798
244,39.38,0.798
245,39.38,0.798
246,39.38,0.798
247,39.38,0.798
248,39.38,0.798
249,39.38,0.798
250,39.38,0.798
251,39.38,0.798
252,39.38,0.798
253,39.38,0.798
254,39.38,0.798
255,39.38,0.798
256,39.38,0.798
257,39.38,0.798
258,39.38,0.798
259,39.38,0.798
260,39.38,0.798
261,39.38,0.798
262,39.38,0.798
263,39.38,0.798
264,39.38,0.798
265,39.38,0.798
266,39.38,0.798
267,39.38,0.798
268,39.38,0.798
269,39.38,0.798
270,39.38,0.798
271,39.38,0.798
272,39.38,0.798
273,39.38,0.798
274,39.38,0.798
275,39.38,0.798
276,39.38,0.798
277,39.38,0.798
278,39.38,0.798
279,39.38,0.798
280,39.38,0.798
281,39.38,0.798
282,39.38,0.798
283,39.38,0.798
284,39.38,0.798
285,39.38,0.798
286,39.38,0.798
287,39.38,0.798
288,39.38,0.798
289,39.38,0.798
290,39.38,0.798
291,39.38,0.798
292,39.38,0.798
293,39.38,0.798
294,39.38,0.798
295,39.38,0.798
296,39.38,0.798
297,39.38,0.798
298,39.38,0.798
299,39.38,0.798
300,39.38,0.798
301,39.38,0.798
302,39.38,0.798
303,39.38,0.798
304,39.38,0.798
305,39.38,0.798
306,39.38,0.798
307,39.38,0.798
308,39.38,0.798
309,39.38,0.798
310,39.38,0.798
311,39.38,0.798
312,39.38,0.798
313,39.38,0.798
314,39.38,0.798
315,39.38,0.798
316,39.38,0.798
317,39.38,0.798
318,39.38,0.798
319,39.38,0.798
320,39.38,0.798
321,39.38,0.798
322,39.38,0.798
323,39.38,0.798
324,39.38,0.798
325,39.38,0.798
326,39.38,0.798
327,39.38,0.798
328,39.38,0.798
329,39.38,0.798
330,39.38,0.798
331,39.38,0.798
332,39.38,0.798
333,39.38,0.798
334,39.38,0.798
335,39.38,0.798
336,39.38,0.798
337,39.38,0.798
338,39.38,0.798
339,39.38,0.798
340,39.38,0.798
341,39.38,0.798
342,39.38,0.798
343,39.38,0.798
344,39.38,0.798
345,39.38,0.798
346,39.38,0.798
347,39.38,0.798
348,39.38,0.798
349,39.38,0.798
350,39.38,0.798
351,39.38,0.798
352,39.38,0.798
353,39.38,0.798
354,39.38,0.798
355,39.38,0.798
356,39.38,0.798
357,39.38,0.798
358,39.38,0.798
359,39.38,0.798
360,39.38,0.798
361,39.38,0.798
362,39.38,0.798
363,39.38,0.798
364,39.38,0.798
365,39.38,0.798
366,39.38,0.798
