t,x,y
156,58.11,0.684
157,58.11,0.684
158,58.11,0.684
159,58.11,0.684
160,58.11,0.684
161,58.11,0.684
162,58.11,0.684
163,58.11,0.684
164,58.11,0.684
165,58.11,0.684
166,58.11,0.684
167,58.11,0.684
168,58.11,0.684
169,58.11,0.684
170,58.11,0.684
171,58.11,0.684
172,58.11,0.684
173,58.11,0.684
174,58.11,0.684
175,58.11,0.684
176,58.11,0.684
177,58.11,0.684
178,58.11,0.684
179,58.11,0.684
180,58.11,0.684
181,58.11,0.684
182,58.11,0.684
183,58.11,0.684
184,58.11,0.684
185,58.11,0.684
186,58.11,0.684
187,58.11,0.684
188,58.11,0.684
189,58.11,0.684
190,58.11,0.684
191,58.11,0.684
192,58.11,0.684
193,58.11,0.684
194,58.11,0.684
195,58.11,0.684
196,58.11,0.684
197,58.11,0.684
198,58.11,0.684
199,58.11,0.684
200,58.11,0.684
201,58.11,0.684
202,58.11,0.684
203,58.11,0.684
204,58.11,0.684
205,58.11,0.684
206,58.11,0.684
207,58.11,0.684
208,58.11,0.684
209,58.11,0.684
210,58.11,0.684
211,58.11,0.684
212,58.11,0.684
213,58.11,0.684
214,58.11,0.684
215,58.11,0.684
216,58.11,0.684
217,58.11,0.684
218,58.11,0.684
219,58.11,0.684
220,58.11,0.684
221,58.11,0.684
222,58.11,0.684
223,58.11,0.684
224,58.11,0.684
225,58.11,0.684
226,58.11,0.684
227,58.11,0.684
228,58.11,0.684
229,58.11,0.684
230,58.11,0.684
231,58.11,0.684
232,58.11,0.684
233,58.11,0.684
234,58.11,0.684
235,58.11,0.684
236,58.11,0.684
237,58.11,0.684
238,58.11,0.684
239,58.11,0.684
240,58.11,0.684
241,58.11,0.684
242,58.11,0.684
243,58.11,0.684
244,58.11,0.684
245,58.11,0.684
246,58.11,0.684
247,58.11,0.684
248,58.11,0.684
249,58.11,0.684
250,58.11,0.684
251,58.11,0.684
252,58.11,0.684
253,58.11,0.684
254,58.11,0.684
255,58.11,0.684
256,58.11,0.684
257,58.11,0.684
258,58.11,0.684
259,58.11,0.684
260,58.11,0.684
261,58.11,0.684
262,58.11,0.684
263,58.11,0.684
264,58.11,0.684
265,58.11,0.684
266,58.11,0.684
267,58.11,0.684
268,58.11,0.684
269,58.11,0.684
270,58.11,0.684
271,58.11,0.684
272,58.11,0.684
273,58.11,0.684
274,58.11,0.684
275,58.11,0.684
276,58.11,0.684
277,58.11,0.684
278,58.11,0.684
279,58.11,0.684
280,58.11,0.684
281,58.11,0.684
282,58.11,0.684
283,58.11,0.684
284,58.11,0.684
285,58.11,0.684
286,58.11,0.684
287,58.11,0.684
288,58.11,0.684
289,58.11,0.684
290,58.11,0.684
291,58.11,0.684
292,58.11,0.684
293,58.11,0.684
294,58.11,0.684
295,58.11,0.684
296,58.11,0.684
297,58.11,0.684
298,58.11,0.684
299,58.11,0.684
300,58.11,0.684
301,58.11,0.684
302,58.11,0.684
303,58.11,0.684
304,58.11,0.684
305,58.11,0.684
306,58.11,0.684
307,58.11,0.684
308,58.11,0.684
309,58.11,0.684
310,58.11,0.684
311,58.11,0.684
312,58.11,0.684
313,58.11,0.684
314,58.11,0.684
315,58.11,0.684
316,58.11,0.684
317,58.11,0.684
318,58.11,0.684
319,58.11,0.684
320,58.11,0.684
321,58.11,0.684
322,58.11,0.684
323,58.11,0.684
324,58.11,0.684
325,58.11,0.684
326,58.11,0.684
327,58.11,0.684
328,58.11,0.684
329,58.11,0.684
330,58.11,0.684
331,58.11,0.684
332,58.11,0.684
333,58.11,0.684
334,58.11,0.684
335,58.11,0.684
336,58.11,0.684
337,58.11,0.684
338,58.11,0.684
339,58.11,0.684
340,58.11,0.684
341,58.11,0.684
342,58.11,0.684
343,58.11,0.684
344,58.11,0.684
345,58.11,0.684
346,58.11,0.684
347,58.11,0.684
348,58.11,0.684
349,58.11,0.684
350,58.11,0.684
351,58.11,0.684
352,58.11,0.684
353,58.11,0.684
354,58.11,0.684
355,58.11,0.684
356,58.11,0.684
357,58.11,0.684
358,58.11,0.684
359,58.11,0.684
360,58.11,0.684
361,58.11,0.684
362,58.11,0.684
363,58.11,0.684
364,58.11,0.684
365,58.11,0.684
366,58.11,0.684
367,58.11,0.684
368,58.11,0.684
369,58.11,0.684
370,58.11,0.684
371,58.11,0.684
372,58.11,0.684
373,58.11,0.684
374,58.11,0.684
375,58.11,0.684
376,58.11,0.684
377,58.11,0.684
378,58.11,0.684
379,58.11,0.684
380,58.11,0.684
381,58.11,0.684
382,58.11,0.684
383,58.11,0.684
384,58.11,0.684
385,58.11,0.684
386,58.11,0.684
387,58.11,0.684
388,58.11,0.684
389,58.11,0.684
390,58.11,0.684
391,58.11,0.684
392,58.11,0.684
393,58.11,0.684
394,58.11,0.684
395,58.11,0.684
396,58.11,0.684
397,58.11,0.684
398,58.11,0.684
399,58.11,0.684
400,58.11,0.684
401,58.11,0.684
402,58.11,0.684
403,58.11,0.684
404,58.11,0.684
405,58.11,0.684
406,58.11,0.684
407,58.11,0.684
408,58.11,0.684
409,58.11,0.684
410,58.11,0.684
411,58.11,0.684
412,58.11,0.684
413,58.11,0.684
414,58.11,0.684
415,58.11,0.684
416,58.11,0.684
417,58.11,0.684
418,58.11,0.684
419,58.11,0.684
420,58.11,0.684
421,58.11,0.684
422,58.11,0.684
423,58.11,0.684
424,58.11,0.684
425,58.11,0.684
426,58.11,0.684
427,58.11,0.684
428,58.11,0.684
429,58.11,0.684
430,58.11,0.684
431,58.11,0.684
432,58.11,0.684
433,58.11,0.684
434,58.11,0.684
435,58.11,0.684
436,58.11,0.684
437,58.11,0.684
438,58.11,0.684
439,58.11,0.684
440,58.11,0.684
441,58.11,0.684
442,58.11,0.684
443,58.11,0.684
444,58.11,0.684
445,58.11,0.684
446,58.11,0.684
447,58.11,0.684
448,58.11,0.684
449,58.11,0.684
450,58.11,0.684
451,58.11,0.684
452,58.11,0.684
453,58.11,0.684
454,58.11,0.684
455,58.11,0.684
456,58.11,0.684
457,58.11,0.684
458,58.11,0.684
459,58.11,0.684
460,58.11,0.684
461,58.11,0.684
462,58.11,0.684
463,58.11,0.684
464,58.11,0.684
465,58.11,0.684
466,58.11,0.684
467,58.11,0.684
468,58.11,0.684
469,58.11,0.684
470,58.11,0.684
471,58.11,0.684
472,58.11,0.684
473,58.11,0.684
474,58.11,0.684
475,58.11,0.684
476,58.11,0.684
477,58.11,0.684
478,58.11,0.684
479,58.11,0.684
480,58.11,0.684
481,58.11,0.684
482,58.11,0.684
483,58.11,0.684
484,58.11,0.684
485,58.11,0.684
