t,x,y,v,a,θ
296,64.07,4.646,8.039,23.05,4.1°
288,61.65,4.714,8.133,2.7769999999999997,4.4°
297,64.33,4.642,8.142999999999999,,4.1°
284,60.43,4.751,8.218,17.41,4.5°
293,63.16,4.68,8.308,19.84,4.2°
228,43.37,4.795,8.36,3.7889999999999997,6.3°
278,58.6,4.775,8.413,6.577999999999999,4.7°
289,61.91,4.705,8.436,32.73,4.3°
292,62.88,4.681,8.482999999999999,30.29,4.3°
277,58.32,4.781,8.495,7.683,4.7°
229,43.63,4.823,8.619,13.62,6.3°
283,60.15,4.753,8.696,32.01,4.5°
249,49.8,4.825,8.704,4.425,5.5°
287,61.37,4.718,8.737,31.03,4.4°
280,59.19,4.776,8.812999999999999,21.44,4.6°
279,58.88,4.773,8.907,3.762,4.6°
250,50.09,4.825,8.913,8.728,5.5°
258,52.55,4.822,8.921,2.0140000000000002,5.2°
274,57.43,4.79,8.922,0.7559999999999999,4.8°
276,58.03,4.779,8.935,6.417000000000001,4.7°
264,54.38,4.818,8.985,2.966,5.1°
261,53.47,4.822,8.993,1.4269999999999998,5.2°
275,57.73,4.787,9.014,1.692,4.7°
257,52.26,4.823,9.022,6.114,5.3°
270,56.2,4.812,9.033999999999999,7.265,4.9°
266,54.99,4.82,9.044,1.125,5.0°
269,55.89,4.819,9.05,3.536,4.9°
240,47.05,4.828,9.055,3.438,5.9°
267,55.28,4.812,9.057,1.969,5.0°
239,46.74,4.829,9.093,3.815,5.9°
248,49.51,4.826,9.102,8.956,5.6°
273,57.13,4.793,9.112,9.896,4.8°
265,54.68,4.819,9.115,2.345,5.0°
227,43.08,4.771,9.117,20.66,6.3°
246,48.88,4.827,9.122,4.218999999999999,5.6°
243,47.97,4.831,9.132,2.1590000000000003,5.8°
245,48.58,4.828,9.136000000000001,0.6659999999999999,5.7°
223,41.83,4.768,9.158,1.23,6.5°
199,34.32,4.659,9.158,4.246,7.7°
268,55.59,4.816,9.179,0.97,5.0°
206,36.5,4.696,9.186,4.372,7.3°
259,52.85,4.822,9.195,3.827,5.2°
231,44.25,4.826,9.203,1.349,6.2°
253,51.02,4.824,9.213,2.503,5.4°
262,53.76,4.821,9.217,2.173,5.1°
254,51.32,4.825,9.218,2.812,5.4°
217,39.93,4.74,9.225,1.756,6.8°
260,53.16,4.822,9.226,2.335,5.2°
194,32.76,4.629,9.228,1.474,8.0°
203,35.56,4.672,9.228,3.2,7.5°
209,37.43,4.702,9.229,2.6489999999999996,7.2°
238,46.44,4.828,9.231,1.5419999999999998,5.9°
210,37.73,4.703,9.232000000000001,8.855,7.1°
222,41.53,4.764,9.237,9.218,6.5°
215,39.31,4.734,9.241,0.436,6.9°
244,48.27,4.832,9.242,2.3930000000000002,5.7°
214,39.0,4.732,9.245,1.206,6.9°
241,47.34,4.827,9.247,2.966,5.8°
251,50.39,4.824,9.25,5.421,5.5°
232,44.56,4.825,9.267999999999999,2.8819999999999997,6.2°
195,33.06,4.629,9.269,1.966,8.0°
237,46.13,4.824,9.269,4.308,6.0°
263,54.08,4.817,9.28,2.104,5.1°
207,36.8,4.697,9.288,2.266,7.3°
202,35.25,4.667,9.305,2.866,7.5°
224,42.14,4.768,9.311,5.1370000000000005,6.5°
200,34.62,4.662,9.312000000000001,3.673,7.7°
216,39.62,4.736,9.317,1.609,6.8°
188,30.88,4.597,9.321,3.638,8.5°
230,43.95,4.823,9.335,13.33,6.3°
192,32.13,4.626,9.341000000000001,2.9210000000000003,8.2°
187,30.57,4.596,9.344,2.8760000000000003,8.5°
193,32.45,4.629,9.344,2.398,8.1°
242,47.66,4.826,9.344,1.288,5.8°
196,33.38,4.636,9.349,5.023,7.9°
213,38.69,4.727,9.36,9.216000000000001,7.0°
252,50.71,4.824,9.361,0.9209999999999999,5.4°
186,30.26,4.597,9.363,1.6469999999999998,8.6°
208,37.12,4.701,9.368,0.581,7.2°
255,51.63,4.822,9.376,1.49,5.3°
189,31.19,4.602,9.378,3.194,8.4°
256,51.95,4.823,9.384,4.8180000000000005,5.3°
234,45.19,4.825,9.392999999999999,2.247,6.1°
236,45.82,4.824,9.398,2.075,6.0°
233,44.87,4.824,9.407,1.653,6.1°
191,31.83,4.619,9.412,2.9189999999999996,8.3°
218,40.23,4.747,9.42,4.333,6.7°
201,34.94,4.662,9.43,1.183,7.6°
271,56.5,4.811,9.434,4.832,4.9°
225,42.45,4.772,9.443,1.5730000000000002,6.4°
204,35.87,4.673,9.452,3.5010000000000003,7.4°
182,28.99,4.593,9.454,0.68,9.0°
198,34.01,4.648,9.461,4.1419999999999995,7.8°
226,42.77,4.771,9.465,7.148,6.4°
205,36.19,4.687,9.476,2.804,7.4°
185,29.94,4.6,9.488999999999999,3.9810000000000003,8.7°
247,49.19,4.829,9.493,1.636,5.6°
235,45.5,4.825,9.495,1.5490000000000002,6.1°
285,60.69,4.745,9.501,18.18,4.5°
183,29.31,4.593,9.507,1.439,8.9°
179,28.04,4.59,9.517000000000001,0.8270000000000001,9.3°
272,56.83,4.799,9.517000000000001,2.654,4.8°
178,27.72,4.588,9.522,2.083,9.4°
197,33.69,4.638,9.54,2.002,7.8°
181,28.68,4.592,9.544,1.65,9.1°
190,31.51,4.612,9.547,0.534,8.3°
180,28.36,4.592,9.548,0.7929999999999999,9.2°
294,63.44,4.674,9.552,10.1,4.2°
295,63.8,4.649,9.554,14.72,4.2°
219,40.56,4.748,9.562000000000001,7.289,6.7°
184,29.63,4.596,9.579,0.777,8.8°
177,27.4,4.584,9.605,5.365,9.5°
171,25.46,4.56,9.613,0.562,10.2°
172,25.78,4.563,9.64,1.8780000000000001,10.0°
174,26.43,4.564,9.662,2.4859999999999998,9.8°
170,25.14,4.557,9.709,2.073,10.3°
169,24.81,4.557,9.715,1.3119999999999998,10.4°
211,38.04,4.714,9.735,4.891,7.1°
212,38.38,4.723,9.746,3.194,7.0°
162,22.51,4.521,9.753,2.878,11.4°
173,26.1,4.565,9.769,0.58,9.9°
175,26.75,4.567,9.785,3.174,9.7°
168,24.49,4.556,9.793,2.5669999999999997,10.5°
221,41.21,4.757,9.81,7.284,6.6°
161,22.19,4.518,9.814,5.143,11.5°
167,24.16,4.554,9.816,3.468,10.7°
220,40.87,4.75,9.821,2.6210000000000004,6.6°
176,27.08,4.576,9.832,1.5759999999999998,9.6°
281,59.47,4.776,9.877,10.2,4.6°
158,21.19,4.493,9.885,2.55,12.0°
166,23.84,4.546,9.895,2.445,10.8°
157,20.86,4.488,9.908,,12.1°
165,23.5,4.536,9.912,1.6569999999999998,10.9°
164,23.18,4.525,9.916,3.196,11.0°
163,22.84,4.522,9.916,2.9160000000000004,11.2°
160,21.86,4.506,10.06,3.388,11.6°
159,21.52,4.497,10.07,3.0869999999999997,11.8°
286,61.06,4.72,10.09,5.431,4.4°
291,62.6,4.688,10.1,18.53,4.3°
282,59.85,4.76,10.14,8.947000000000001,4.5°
290,62.21,4.709,10.34,17.41,4.3°
156,20.53,4.485,,,12.3°
298,64.61,4.635,,,4.1°
